-118.000   47.000 -0.00121 19
-118.000   48.000 -0.00162 21
-118.000   49.000 -0.00177 21
-118.000   50.000 -0.00212 18
-117.000   25.000  0.00323 16
-117.000   26.000  0.00333 21
-117.000   27.000  0.00350 21
-117.000   28.000  0.00398 24
-117.000   29.000  0.00428 20
-117.000   30.000  0.00392 22
-117.000   31.000  0.00356 19
-117.000   32.000  0.00286 22
-117.000   33.000  0.00240 21
-117.000   34.000  0.00215 22
-117.000   35.000  0.00287 20
-117.000   36.000  0.00319 18
-117.000   37.000  0.00377 17
-117.000   38.000  0.00392 17
-117.000   39.000  0.00385 18
-117.000   40.000  0.00335 17
-117.000   41.000  0.00269 17
-117.000   42.000  0.00204 14
-117.000   43.000  0.00077 16
-117.000   44.000  0.00019 11
-117.000   45.000 -0.00074 15
-117.000   46.000 -0.00100 12
-117.000   47.000 -0.00196 19
-117.000   48.000 -0.00244 18
-117.000   49.000 -0.00297 20
-117.000   50.000 -0.00330 14
-116.000   25.000  0.00160 19
-116.000   26.000  0.00191 23
-116.000   27.000  0.00219 24
-116.000   28.000  0.00283 25
-116.000   29.000  0.00331 23
-116.000   30.000  0.00311 24
-116.000   31.000  0.00298 23
-116.000   32.000  0.00259 23
-116.000   33.000  0.00267 24
-116.000   34.000  0.00283 22
-116.000   35.000  0.00375 24
-116.000   36.000  0.00394 19
-116.000   37.000  0.00426 22
-116.000   38.000  0.00408 18
-116.000   39.000  0.00395 22
-116.000   40.000  0.00379 18
-116.000   41.000  0.00319 20
-116.000   42.000  0.00213 15
-116.000   43.000  0.00056 18
-116.000   44.000 -0.00041 13
-116.000   45.000 -0.00218 16
-116.000   46.000 -0.00252 13
-116.000   47.000 -0.00306 18
-116.000   48.000 -0.00282 21
-116.000   49.000 -0.00324 21
-116.000   50.000 -0.00303 18
-115.000   25.000 -0.00061 17
-115.000   26.000  0.00012 22
-115.000   27.000  0.00043 22
-115.000   28.000  0.00124 24
-115.000   29.000  0.00162 21
-115.000   30.000  0.00142 24
-115.000   31.000  0.00118 22
-115.000   32.000  0.00094 24
-115.000   33.000  0.00145 21
-115.000   34.000  0.00192 22
-115.000   35.000  0.00324 21
-115.000   36.000  0.00350 22
-115.000   37.000  0.00403 19
-115.000   38.000  0.00380 18
-115.000   39.000  0.00396 16
-115.000   40.000  0.00418 17
-115.000   41.000  0.00372 16
-115.000   42.000  0.00223 14
-115.000   43.000  0.00037 15
-115.000   44.000 -0.00096 12
-115.000   45.000 -0.00329 15
-115.000   46.000 -0.00338 13
-115.000   47.000 -0.00318 18
-115.000   48.000 -0.00177 19
-115.000   49.000 -0.00171 20
-115.000   50.000 -0.00076 15
-114.000   25.000 -0.00152 18
-114.000   26.000 -0.00072 22
-114.000   27.000 -0.00078 23
-114.000   28.000 -0.00029 25
-114.000   29.000 -0.00025 24
-114.000   30.000 -0.00016 26
-114.000   31.000 -0.00046 25
-114.000   32.000 -0.00022 25
-114.000   33.000  0.00064 24
-114.000   34.000  0.00137 23
-114.000   35.000  0.00275 25
-114.000   36.000  0.00328 24
-114.000   37.000  0.00407 26
-114.000   38.000  0.00385 21
-114.000   39.000  0.00411 21
-114.000   40.000  0.00443 17
-114.000   41.000  0.00370 19
-114.000   42.000  0.00156 15
-114.000   43.000 -0.00070 19
-114.000   44.000 -0.00231 15
-114.000   45.000 -0.00495 18
-114.000   46.000 -0.00461 15
-114.000   47.000 -0.00350 19
-114.000   48.000 -0.00076 21
-114.000   49.000 -0.00003 21
-114.000   50.000  0.00180 17
-113.000   25.000 -0.00107 16
-113.000   26.000 -0.00022 21
-113.000   27.000 -0.00075 24
-113.000   28.000 -0.00061 26
-113.000   29.000 -0.00119 23
-113.000   30.000 -0.00112 24
-113.000   31.000 -0.00174 21
-113.000   32.000 -0.00140 24
-113.000   33.000 -0.00066 21
-113.000   34.000 -0.00010 24
-113.000   35.000  0.00119 20
-113.000   36.000  0.00170 23
-113.000   37.000  0.00267 20
-113.000   38.000  0.00259 22
-113.000   39.000  0.00346 17
-113.000   40.000  0.00426 18
-113.000   41.000  0.00381 16
-113.000   42.000  0.00163 15
-113.000   43.000 -0.00081 14
-113.000   44.000 -0.00281 12
-113.000   45.000 -0.00581 14
-113.000   46.000 -0.00526 13
-113.000   47.000 -0.00350 17
-113.000   48.000  0.00024 19
-113.000   49.000  0.00166 20
-113.000   50.000  0.00413 14
-112.000   25.000  0.00139 17
-112.000   26.000  0.00184 21
-112.000   27.000  0.00089 23
-112.000   28.000  0.00043 25
-112.000   29.000 -0.00080 23
-112.000   30.000 -0.00093 25
-112.000   31.000 -0.00178 24
-112.000   32.000 -0.00153 26
-112.000   33.000 -0.00122 26
-112.000   34.000 -0.00075 26
-112.000   35.000  0.00033 25
-112.000   36.000  0.00096 24
-112.000   37.000  0.00196 26
-112.000   38.000  0.00214 26
-112.000   39.000  0.00322 24
-112.000   40.000  0.00415 21
-112.000   41.000  0.00365 20
-112.000   42.000  0.00156 18
-112.000   43.000 -0.00071 20
-112.000   44.000 -0.00278 16
-112.000   45.000 -0.00585 18
-112.000   46.000 -0.00535 14
-112.000   47.000 -0.00337 17
-112.000   48.000  0.00055 20
-112.000   49.000  0.00215 20
-112.000   50.000  0.00481 16
-111.000   25.000  0.00353 15
-111.000   26.000  0.00372 20
-111.000   27.000  0.00267 22
-111.000   28.000  0.00205 24
-111.000   29.000  0.00034 22
-111.000   30.000 -0.00025 23
-111.000   31.000 -0.00131 21
-111.000   32.000 -0.00132 24
-111.000   33.000 -0.00120 23
-111.000   34.000 -0.00067 24
-111.000   35.000  0.00055 20
-111.000   36.000  0.00116 22
-111.000   37.000  0.00197 20
-111.000   38.000  0.00187 24
-111.000   39.000  0.00281 19
-111.000   40.000  0.00364 20
-111.000   41.000  0.00335 16
-111.000   42.000  0.00159 17
-111.000   43.000 -0.00027 16
-111.000   44.000 -0.00225 15
-111.000   45.000 -0.00530 16
-111.000   46.000 -0.00519 15
-111.000   47.000 -0.00341 16
-111.000   48.000  0.00009 19
-111.000   49.000  0.00159 19
-111.000   50.000  0.00398 15
-110.000   25.000  0.00528 18
-110.000   26.000  0.00515 21
-110.000   27.000  0.00419 22
-110.000   28.000  0.00350 24
-110.000   29.000  0.00166 24
-110.000   30.000  0.00074 25
-110.000   31.000 -0.00034 24
-110.000   32.000 -0.00049 25
-110.000   33.000 -0.00037 26
-110.000   34.000  0.00024 26
-110.000   35.000  0.00144 25
-110.000   36.000  0.00209 25
-110.000   37.000  0.00263 25
-110.000   38.000  0.00206 26
-110.000   39.000  0.00233 23
-110.000   40.000  0.00264 22
-110.000   41.000  0.00234 19
-110.000   42.000  0.00104 18
-110.000   43.000  0.00003 19
-110.000   44.000 -0.00144 17
-110.000   45.000 -0.00408 19
-110.000   46.000 -0.00440 17
-110.000   47.000 -0.00318 17
-110.000   48.000 -0.00073 19
-110.000   49.000  0.00040 17
-110.000   50.000  0.00247 15
-109.000   25.000  0.00489 20
-109.000   26.000  0.00495 22
-109.000   27.000  0.00461 25
-109.000   28.000  0.00458 24
-109.000   29.000  0.00333 25
-109.000   30.000  0.00259 23
-109.000   31.000  0.00185 22
-109.000   32.000  0.00160 21
-109.000   33.000  0.00192 21
-109.000   34.000  0.00251 22
-109.000   35.000  0.00346 20
-109.000   36.000  0.00375 21
-109.000   37.000  0.00371 18
-109.000   38.000  0.00219 22
-109.000   39.000  0.00136 18
-109.000   40.000  0.00095 21
-109.000   41.000  0.00055 16
-109.000   42.000 -0.00039 16
-109.000   43.000 -0.00044 13
-109.000   44.000 -0.00124 14
-109.000   45.000 -0.00337 15
-109.000   46.000 -0.00399 16
-109.000   47.000 -0.00299 14
-109.000   48.000 -0.00166 17
-109.000   49.000 -0.00084 16
-109.000   50.000  0.00105 14
-108.000   25.000  0.00324 20
-108.000   26.000  0.00368 22
-108.000   27.000  0.00413 24
-108.000   28.000  0.00478 24
-108.000   29.000  0.00437 24
-108.000   30.000  0.00383 24
-108.000   31.000  0.00334 23
-108.000   32.000  0.00288 23
-108.000   33.000  0.00325 22
-108.000   34.000  0.00377 25
-108.000   35.000  0.00438 24
-108.000   36.000  0.00455 26
-108.000   37.000  0.00396 22
-108.000   38.000  0.00182 23
-108.000   39.000 -0.00036 19
-108.000   40.000 -0.00162 22
-108.000   41.000 -0.00253 19
-108.000   42.000 -0.00300 19
-108.000   43.000 -0.00183 16
-108.000   44.000 -0.00127 16
-108.000   45.000 -0.00217 16
-108.000   46.000 -0.00273 16
-108.000   47.000 -0.00205 14
-108.000   48.000 -0.00224 16
-108.000   49.000 -0.00202 14
-108.000   50.000 -0.00073 12
-107.000   25.000  0.00039 20
-107.000   26.000  0.00134 23
-107.000   27.000  0.00246 26
-107.000   28.000  0.00380 23
-107.000   29.000  0.00448 24
-107.000   30.000  0.00440 21
-107.000   31.000  0.00438 24
-107.000   32.000  0.00405 22
-107.000   33.000  0.00477 24
-107.000   34.000  0.00523 23
-107.000   35.000  0.00560 22
-107.000   36.000  0.00561 22
-107.000   37.000  0.00453 19
-107.000   38.000  0.00174 21
-107.000   39.000 -0.00174 18
-107.000   40.000 -0.00387 21
-107.000   41.000 -0.00578 17
-107.000   42.000 -0.00621 18
-107.000   43.000 -0.00426 14
-107.000   44.000 -0.00227 18
-107.000   45.000 -0.00180 16
-107.000   46.000 -0.00178 19
-107.000   47.000 -0.00114 13
-107.000   48.000 -0.00250 18
-107.000   49.000 -0.00292 15
-107.000   50.000 -0.00256 15
-106.000   25.000 -0.00181 17
-106.000   26.000 -0.00073 21
-106.000   27.000  0.00074 21
-106.000   28.000  0.00217 23
-106.000   29.000  0.00367 21
-106.000   30.000  0.00382 23
-106.000   31.000  0.00418 22
-106.000   32.000  0.00372 25
-106.000   33.000  0.00436 24
-106.000   34.000  0.00430 27
-106.000   35.000  0.00422 23
-106.000   36.000  0.00396 26
-106.000   37.000  0.00268 22
-106.000   38.000  0.00003 24
-106.000   39.000 -0.00372 20
-106.000   40.000 -0.00600 22
-106.000   41.000 -0.00865 19
-106.000   42.000 -0.00903 21
-106.000   43.000 -0.00692 18
-106.000   44.000 -0.00390 20
-106.000   45.000 -0.00212 17
-106.000   46.000 -0.00108 18
-106.000   47.000 -0.00028 15
-106.000   48.000 -0.00211 18
-106.000   49.000 -0.00293 15
-106.000   50.000 -0.00348 13
-105.000   25.000 -0.00353 22
-105.000   26.000 -0.00268 22
-105.000   27.000 -0.00107 26
-105.000   28.000  0.00033 23
-105.000   29.000  0.00244 25
-105.000   30.000  0.00296 23
-105.000   31.000  0.00380 25
-105.000   32.000  0.00337 23
-105.000   33.000  0.00387 25
-105.000   34.000  0.00338 24
-105.000   35.000  0.00313 23
-105.000   36.000  0.00269 22
-105.000   37.000  0.00146 20
-105.000   38.000 -0.00090 22
-105.000   39.000 -0.00433 20
-105.000   40.000 -0.00646 22
-105.000   41.000 -0.00977 18
-105.000   42.000 -0.01073 19
-105.000   43.000 -0.00919 15
-105.000   44.000 -0.00582 19
-105.000   45.000 -0.00321 16
-105.000   46.000 -0.00101 19
-105.000   47.000  0.00043 13
-105.000   48.000 -0.00116 19
-105.000   49.000 -0.00216 14
-105.000   50.000 -0.00368 16
-104.000   25.000 -0.00290 19
-104.000   26.000 -0.00255 19
-104.000   27.000 -0.00119 22
-104.000   28.000 -0.00026 23
-104.000   29.000  0.00157 23
-104.000   30.000  0.00187 25
-104.000   31.000  0.00250 23
-104.000   32.000  0.00171 24
-104.000   33.000  0.00150 22
-104.000   34.000  0.00051 25
-104.000   35.000  0.00011 22
-104.000   36.000 -0.00028 25
-104.000   37.000 -0.00127 21
-104.000   38.000 -0.00279 25
-104.000   39.000 -0.00530 21
-104.000   40.000 -0.00677 24
-104.000   41.000 -0.00991 20
-104.000   42.000 -0.01102 21
-104.000   43.000 -0.01023 17
-104.000   44.000 -0.00716 18
-104.000   45.000 -0.00441 16
-104.000   46.000 -0.00170 16
-104.000   47.000 -0.00004 14
-104.000   48.000 -0.00085 15
-104.000   49.000 -0.00170 15
-104.000   50.000 -0.00354 13
-103.000   25.000 -0.00064 22
-103.000   26.000 -0.00125 19
-103.000   27.000 -0.00078 28
-103.000   28.000 -0.00070 22
-103.000   29.000 -0.00006 28
-103.000   30.000 -0.00023 23
-103.000   31.000  0.00019 27
-103.000   32.000 -0.00021 22
-103.000   33.000 -0.00048 26
-103.000   34.000 -0.00127 24
-103.000   35.000 -0.00150 26
-103.000   36.000 -0.00160 24
-103.000   37.000 -0.00217 22
-103.000   38.000 -0.00304 23
-103.000   39.000 -0.00449 21
-103.000   40.000 -0.00521 24
-103.000   41.000 -0.00789 19
-103.000   42.000 -0.00957 20
-103.000   43.000 -0.00972 15
-103.000   44.000 -0.00738 19
-103.000   45.000 -0.00496 16
-103.000   46.000 -0.00222 19
-103.000   47.000 -0.00028 13
-103.000   48.000 -0.00002 18
-103.000   49.000 -0.00061 15
-103.000   50.000 -0.00253 17
-102.000   25.000  0.00189 19
-102.000   26.000  0.00048 19
-102.000   27.000  0.00004 25
-102.000   28.000 -0.00079 23
-102.000   29.000 -0.00148 24
-102.000   30.000 -0.00216 22
-102.000   31.000 -0.00205 22
-102.000   32.000 -0.00214 22
-102.000   33.000 -0.00249 23
-102.000   34.000 -0.00326 25
-102.000   35.000 -0.00360 24
-102.000   36.000 -0.00378 25
-102.000   37.000 -0.00405 22
-102.000   38.000 -0.00434 25
-102.000   39.000 -0.00438 23
-102.000   40.000 -0.00400 25
-102.000   41.000 -0.00519 21
-102.000   42.000 -0.00670 20
-102.000   43.000 -0.00738 18
-102.000   44.000 -0.00614 18
-102.000   45.000 -0.00484 19
-102.000   46.000 -0.00301 18
-102.000   47.000 -0.00151 18
-102.000   48.000 -0.00047 16
-102.000   49.000 -0.00080 19
-102.000   50.000 -0.00207 15
-101.000   25.000  0.00479 22
-101.000   26.000  0.00239 19
-101.000   27.000  0.00094 29
-101.000   28.000 -0.00073 22
-101.000   29.000 -0.00278 28
-101.000   30.000 -0.00378 21
-101.000   31.000 -0.00379 26
-101.000   32.000 -0.00309 21
-101.000   33.000 -0.00325 27
-101.000   34.000 -0.00370 23
-101.000   35.000 -0.00413 26
-101.000   36.000 -0.00409 23
-101.000   37.000 -0.00399 24
-101.000   38.000 -0.00375 24
-101.000   39.000 -0.00273 22
-101.000   40.000 -0.00148 23
-101.000   41.000 -0.00165 19
-101.000   42.000 -0.00333 19
-101.000   43.000 -0.00433 16
-101.000   44.000 -0.00400 19
-101.000   45.000 -0.00362 19
-101.000   46.000 -0.00262 20
-101.000   47.000 -0.00146 16
-101.000   48.000 -0.00017 21
-101.000   49.000 -0.00039 19
-101.000   50.000 -0.00117 19
-100.000   25.000  0.00497 21
-100.000   26.000  0.00232 20
-100.000   27.000  0.00047 25
-100.000   28.000 -0.00163 22
-100.000   29.000 -0.00423 24
-100.000   30.000 -0.00519 22
-100.000   31.000 -0.00493 22
-100.000   32.000 -0.00348 21
-100.000   33.000 -0.00314 23
-100.000   34.000 -0.00325 23
-100.000   35.000 -0.00392 23
-100.000   36.000 -0.00401 23
-100.000   37.000 -0.00403 23
-100.000   38.000 -0.00359 25
-100.000   39.000 -0.00208 23
-100.000   40.000 -0.00016 24
-100.000   41.000  0.00043 23
-100.000   42.000 -0.00098 20
-100.000   43.000 -0.00201 19
-100.000   44.000 -0.00219 17
-100.000   45.000 -0.00281 22
-100.000   46.000 -0.00272 19
-100.000   47.000 -0.00233 21
-100.000   48.000 -0.00132 18
-100.000   49.000 -0.00171 22
-100.000   50.000 -0.00191 16
 -99.000   25.000  0.00323 23
 -99.000   26.000  0.00060 19
 -99.000   27.000 -0.00133 29
 -99.000   28.000 -0.00344 21
 -99.000   29.000 -0.00593 29
 -99.000   30.000 -0.00662 22
